pattern,raw_json_replies
,[]
ABCBDE,"[('1531336696477933570', ""@granz_t @LaszlosLens @sbbmuud @POTUS Pretty sure he's being sarcastic. At least I hope so."", 'CPABill_1967|937501149589934081', '2022-05-30T18:08:13.000Z'), ('1530185915179606016', ""@LaszlosLens @sbbmuud @POTUS Omg typical liberals you don't have a clue. The A R isn't assualt rifle. It's for the guy who invented it Armalite rifle"", 'granz_t|1517738501818793984', '2022-05-27T13:55:26.000Z'), ('1530137735754919937', '@granz_t @sbbmuud @POTUS Yes there is that’s what AR stands for and they take large capacity clipazines', 'LaszlosLens|1704779334', '2022-05-27T10:43:59.000Z'), ('1530039686709751808', '@sbbmuud @POTUS There is no such thing as an assult rifle', 'granz_t|1517738501818793984', '2022-05-27T04:14:22.000Z'), ('1529931822032818176', '@POTUS Even if we ban assault rifles, there are still tons of them already out there! How do we handle that? 😳', 'sbbmuud|93069144', '2022-05-26T21:05:45.000Z'), ('1529927916469075983', 'On Sunday, Jill and I are traveling to Uvalde, Texas to grieve with the community that lost 21 lives in the horrific elementary school shooting.', 'POTUS|1349149096909668363', '2022-05-26T20:50:14.000Z')]"
ABC,"[('1531336125956116481', '@CoCo197777 @TimRunsHisMouth I made a snarky comment and then retracted it when I realized you were being sarcastic. 🤔', 'Will40800807|1327798418350202881', '2022-05-30T18:05:57.000Z'), ('1531039910819352576', '@TimRunsHisMouth You act as though alcoholism is a choice. Sadly it isn’t. Alcohol is an equal opportunity destroyer. It does not respect income, education level, or political party involvement. You really need to educate yourself.', 'CoCo197777|1466428761453252619', '2022-05-29T22:28:54.000Z'), ('1531024597252030475', ""If I was married to Nancy Pelosi, I'd be a drunk too..."", 'TimRunsHisMouth|34367582', '2022-05-29T21:28:03.000Z')]"
,[]
ABC,"[('1531334812224700420', '@skazan @fred_guttenberg So, in the same vein as thoughts and prayers, I assume you are being sarcastic.', 'farmerpolitic|21674724', '2022-05-30T18:00:44.000Z'), ('1531269417245544448', '@fred_guttenberg Join the nra… by the millions. Attend a meeting and call for more education. And when you have a majority, vote to change the bylaws and vote out the leadership.  “I am a member of the nra and I vote… for gun safety.”', 'skazan|9615542', '2022-05-30T13:40:53.000Z'), ('1531251980705882112', 'This is absolutely brilliant.  This guy thanked Wayne LaPierre for all of his ""thoughts and prayers.""  A must watch. https://t.co/fhcPBcaLLc', 'fred_guttenberg|967027984426242053', '2022-05-30T12:31:36.000Z')]"
AB,"[('1531333656454828032', ""@frenchopen2004 even when stef said he wanted to be like alcaraz and looked up to him there were haters in the replies saying he's lying or being sarcastic. either too respectful or too hungry for a win, never good enough🤷\u200d♀️"", '1hbhdtl|263545614', '2022-05-30T17:56:09.000Z'), ('1531332849466544128', 'replying to stefanos hate is pointless bc he gets hate FOR SAYING HE WANTS TO BEAT THE PLAYER THAT JUST BEAT HIM 💀💀💀 like what is he supposed to say lauren??? https://t.co/TtxNhGdNAG', 'frenchopen2004|1481766600151912448', '2022-05-30T17:52:56.000Z')]"
ABACDD,"[('1531333137330016262', '@DROIDSXI @labyrinthweaver @elonmusk I’m wondering if he is indeed being sarcastic, as the numbers really are incredibly off the mark 😂', 'BillyBuntage|1464334488306073609', '2022-05-30T17:54:05.000Z'), ('1531329170147422208', '@gordon_stag @labyrinthweaver @elonmusk 78 trillion population? Maybe he meant animals and organisms? Still way off.', 'DROIDSXI|1497718233025040387', '2022-05-30T17:38:19.000Z'), ('1531203544228978688', '@labyrinthweaver @elonmusk Numbers slightly off buddy. Park the physics, poetry and satire, and polish up on your general knowledge 😂😂😬', 'BillyBuntage|1464334488306073609', '2022-05-30T09:19:07.000Z'), ('1531056752568852480', ""@elonmusk Musk spent $44 Billion on Twitter. The World's population is 78 trillion. He could have given each person $500 billion and still have money leftover.  Yet he wasted it all on Twitter."", 'labyrinthweaver|2357297012', '2022-05-29T23:35:50.000Z'), ('1531056042494377985', 'And remember that happiness is a choice', 'elonmusk|44196397', '2022-05-29T23:33:00.000Z'), ('1531053815042134016', 'Tomorrow will be the first sunrise of the rest of ur life – make it what u want', 'elonmusk|44196397', '2022-05-29T23:24:09.000Z')]"
ABCD,"[('1531333072859238400', '@Goldsy @lachevron @RonFilipkowski She was being sarcastic.', 'JoshGreenwell6|1479233896575160321', '2022-05-30T17:53:50.000Z'), ('1531310781471461376', '@lachevron @RonFilipkowski Okay Brain Dead, keep telling yourself till you get thrown under the “USED BUS”! When was the last time you watched something other than Fox News, RT, Newsmax, etc?', 'Goldsy|25257762', '2022-05-30T16:25:15.000Z'), ('1531245244485840896', '@RonFilipkowski Oh he definitely knew the phone call was being taped \nHe was just setting a trap...\nAnd by not taking the bait Georgia passed his test with flying colors 🙄', 'lachevron|1504327898131427336', '2022-05-30T12:04:50.000Z'), ('1531243549689319425', 'I’ve said for a year that the case he was always worried about the most was GA. This time his “perfect call” was taped. He did NOT know that, and was enraged when he found out. Fani Willis is not “radical left” or “ambitious” - she is a pro. He knows he’s going down in Fulton. https://t.co/tleGnKpKrc', 'RonFilipkowski|1298372735383605249', '2022-05-30T11:58:06.000Z')]"
ABA,"[('1531333019256111104', ""@HireFireTeam I'm over excavating, Jess. I hope you're being sarcastic, Jess. This is shameful behavior!"", 'lboy100|327223773', '2022-05-30T17:53:37.000Z'), ('1531332245369274368', '@lboy100 Why would you send a 50-page pitch?', 'HireFireTeam|1240259694033276929', '2022-05-30T17:50:32.000Z'), ('1531331836227555330', 'A true story of my best client experience ever 👇  \n\nMe: *Makes an entire 50 page dissertation pitching why my service is worth it*\n\nClient: ""Send me a payment link, please"" \n\nMe: ""Here you go, your great highness"" \n\nClient: *pays in 2 minutes*', 'lboy100|327223773', '2022-05-30T17:48:55.000Z')]"
AB,"[('1531331783664484354', ""@fred_guttenberg Ol' Wayne can't figure out if he's being sarcastic (he is) or if he is just another gun nut."", 'quazzer17|872307564', '2022-05-30T17:48:42.000Z'), ('1531251980705882112', 'This is absolutely brilliant.  This guy thanked Wayne LaPierre for all of his ""thoughts and prayers.""  A must watch. https://t.co/fhcPBcaLLc', 'fred_guttenberg|967027984426242053', '2022-05-30T12:31:36.000Z')]"
ABABC,"[('1531331029394501634', '@ColesCowboys @Cowboys_FanTalk yeah i was being sarcastic lol', 'paydakprescott4|1261196994493788161', '2022-05-30T17:45:42.000Z'), ('1531329867886825475', '@paydakprescott4 @Cowboys_FanTalk He had dhop', 'ColesCowboys|1306678261355814914', '2022-05-30T17:41:05.000Z'), ('1531329737108365313', '@ColesCowboys @Cowboys_FanTalk come on man don’t you know. dak has hall of famers at every position so he can’t lose! while watson has 0 help. he carries a bunch of scrubs!!!', 'paydakprescott4|1261196994493788161', '2022-05-30T17:40:34.000Z'), ('1531268406942523394', '@Cowboys_FanTalk This the funny thing about ranking qbs they wanna crown Watson as elite but he’s 1-2 in the playoffs then they wanna switch it up and say his stats are better than daks lol so are we going off stats? In season wins? Or playoff wins? Same things about Herbert they crowned him too', 'ColesCowboys|1306678261355814914', '2022-05-30T13:36:52.000Z'), ('1531254563759702021', 'This is the official QB records vs winning teams it’s a couple guys on here y’all love say are way better than Dak with loosing records 👀\n\nRodgers: 42-44\nMahommes: 17-11\nStafford: 12-72\nWilson: 36-32\nHerbert: 6-10\nAllen: 12-15\nBurrow: 8-10\nJackson: 13-9 \nWatson: 7-19 \nDak: 18-24 https://t.co/lF9p3jnpbT', 'Cowboys_FanTalk|1293327270032093184', '2022-05-30T12:41:51.000Z')]"
,[]
ABABCD,"[('1531329008691908608', '@Nightbo22172361 Now I don’t know if you are being sarcastic or not. I thought you were.', 'cooltoad666|1329025452917198850', '2022-05-30T17:37:41.000Z'), ('1531324951650762753', '@cooltoad666 @MDSARFR63962804 @asadowaisi Kya hua janab Aurangzeb is 1st secular person 😍', 'Nightbo22172361|1517922843589238790', '2022-05-30T17:21:33.000Z'), ('1531322350477594629', '@Nightbo22172361 @MDSARFR63962804 @asadowaisi Lol😂', 'cooltoad666|1329025452917198850', '2022-05-30T17:11:13.000Z'), ('1531318895109214209', '@MDSARFR63962804 @asadowaisi King Aurangzeb is secular that why he build 3 wall in islamic structure and one wall 1 Hindu structure', 'Nightbo22172361|1517922843589238790', '2022-05-30T16:57:29.000Z'), ('1531301428446187520', '@asadowaisi Inshaallah,ek din babri bhi milegi', 'MDSARFR63962804|1221643953306591235', '2022-05-30T15:48:05.000Z'), ('1531300948940713984', ""नौजवानों, हमारी बाबरी मस्जिद छीनी गई। हमने एक बाबरी मस्जिद खो दी, अब दूसरी मस्जिद को खोने नहीं देंगे इंशा'अल्लाह। https://t.co/DBMovUc90t"", 'asadowaisi|336611577', '2022-05-30T15:46:11.000Z')]"
,[]
ABC,"[('1531327656465244160', '@JackScants @realDailyWire I was hoping he was being sarcastic. That is like a light day for Chicago which is ironic because those shootings never make the news because they are not special due to their frequency.', 'wenisfikers|541763975', '2022-05-30T17:32:18.000Z'), ('1531089302360317956', '@realDailyWire Seriously…again, BAN FUCKING GUNS!!!', 'JackScants|990608703853297664', '2022-05-30T01:45:10.000Z'), ('1531083608806637568', 'Violent Weekend Starts Off Summer In Chicago With At Least Five Dead https://t.co/GnOuDYwIjX https://t.co/BGWbDph7f0', 'realDailyWire|4081106480', '2022-05-30T01:22:33.000Z')]"
AB,"[('1531327520339116032', '@TimRunsHisMouth I assume you are being sarcastic!', 'robinmarchesi|109058485', '2022-05-30T17:31:46.000Z'), ('1530976153376374789', 'Banning drugs worked... no criminal was ever able to obtain or sell drugs after they were made illegal.', 'TimRunsHisMouth|34367582', '2022-05-29T18:15:33.000Z')]"
,[]
A,"[('1531325383366234112', ""It's actually a big help that you're doing stuff that should be done by me or someone else in our circle—No, I'm not being sarcastic, Mikejima."", 'madaizubot|1334134531604049926', '2022-05-30T17:23:16.000Z')]"
,[]
,[]
ABAB,"[('1531324626743087104', '@iloveyoujk0101 it was obviously a joke ,,,, why would jungkook delete his posts bcz of a tweet tf i was obv being sarcastic mb ig', 'koogisclub|1490198798747848706', '2022-05-30T17:20:16.000Z'), ('1531323545531326465', ""@koogisclub Oh OBVIOUSLY..... 'joke' is only when everyone thinks it's funny lol"", 'iloveyoujk0101|1476873801875009536', '2022-05-30T17:15:58.000Z'), ('1531322951827501056', '@iloveyoujk0101 it was obviously a joke u try using ur brain as well', 'koogisclub|1490198798747848706', '2022-05-30T17:13:36.000Z'), ('1531322054586286092', '가끔씩 외퀴들의 뇌는 이해를 할수가 없음..... 왜 저게 저기로 가???? https://t.co/0SvTagOZJ1', 'iloveyoujk0101|1476873801875009536', '2022-05-30T17:10:03.000Z')]"
,[]
AAB,"[('1531324122101211137', '@lavern_spicer Clarification peanut gallery, She is being sarcastic, No one has said men can have kids &amp; my question is about the current republican congress men &amp; women who block &amp; complain about Dem bills but offer none of their own.', 'traciball70|489597507', '2022-05-30T17:18:15.000Z'), ('1531276401847828485', '@lavern_spicer Name one Republicans that has ever done anything productive to help Americans besides dehumanizing Dems who are ALSO Americans.', 'traciball70|489597507', '2022-05-30T14:08:38.000Z'), ('1531251932656017408', 'Name me ONE MAN WHO EVER GOT PREGNANT.', 'lavern_spicer|1187835922118787073', '2022-05-30T12:31:24.000Z')]"
AB,"[('1531323645750042625', '@davidaxelrod PLEASE tell me you were being sarcastic with that...', 'randomletter_f|1294985724887015424', '2022-05-30T17:16:22.000Z'), ('1530985532519489536', 'The inexplicable, heart-wrenching delay in Uvalde underscores the indispensable role of police.', 'davidaxelrod|244655353', '2022-05-29T18:52:49.000Z')]"
,[]
AB,"[('1531322703323471872', '@StrangerNews11 And the fact she was being sarcastic &gt;&gt;&gt;&gt;', 'AustinBee6|995445767157571585', '2022-05-30T17:12:37.000Z'), ('1531259277020651520', 'Her smile...❤️📸✨ #StrangerThings4 https://t.co/i1sOBZpBwo', 'StrangerNews11|769779148294422528', '2022-05-30T13:00:35.000Z')]"
A,"[('1531322278197268481', ""I can't tell if #Phillies fans are being delusional, or sarcastic in how they're acting as if Mickey Moniak will suddenly turn this team into a winner."", 'SwiftOn_Tweets|3299826817', '2022-05-30T17:10:56.000Z')]"
ABCD,"[('1531322240842846220', ""@cadynlbeatz @PaaKwesiHenry @GHOneTV Let's assume he is being sarcastic"", 'IsaacIssacc|489365116', '2022-05-30T17:10:47.000Z'), ('1531312985053986816', '@PaaKwesiHenry @GHOneTV You are mad😂😂😂…that’s allll', 'cadynlbeatz|877974457276608516', '2022-05-30T16:34:00.000Z'), ('1531305697467633665', '@GHOneTV She has to listen to the boyfriends concerns. If she truly loves the boyfriend she will stay.', 'PaaKwesiHenry|274647537', '2022-05-30T16:05:03.000Z'), ('1531278466804482053', 'She has an opportunity to do her Masters in Canada but her boyfriend wants to break up with her because he can tag along. \n\nShe needs your advice #StarrForum https://t.co/6CwB8DOKCL', 'GHOneTV|383173078', '2022-05-30T14:16:50.000Z')]"
ABACACACAC,"[('1531321827418468354', '@LISTERBlRD @V1NTAGES i was being sarcastic omg 💀💀💀💀', 'responsi_vility|1453754837326188545', '2022-05-30T17:09:08.000Z'), ('1531321461855637505', '@responsi_vility @V1NTAGES why r u being manipulative and weird in bethanys mentions😭😭', 'LISTERBlRD|1493564123115839489', '2022-05-30T17:07:41.000Z'), ('1531314014004752384', '@V1NTAGES i think i should die im burnt out anywas', 'responsi_vility|1453754837326188545', '2022-05-30T16:38:06.000Z'), ('1531313844458504192', '@responsi_vility whatever u say😭', 'V1NTAGES|1404869814859046925', '2022-05-30T16:37:25.000Z'), ('1531313715018027008', '@V1NTAGES the stalking one is sarcasm actually', 'responsi_vility|1453754837326188545', '2022-05-30T16:36:54.000Z'), ('1531312978599059459', '@responsi_vility why have u replied to me 3 times and why are u getting so defensive😭', 'V1NTAGES|1404869814859046925', '2022-05-30T16:33:59.000Z'), ('1531312728496713728', '@V1NTAGES are you stalking me', 'responsi_vility|1453754837326188545', '2022-05-30T16:32:59.000Z'), ('1531311546387017728', '@responsi_vility from what i’ve seen you’re being extremely rude to st fans and making those weird millie jokes', 'V1NTAGES|1404869814859046925', '2022-05-30T16:28:17.000Z'), ('1531309486261927937', '@V1NTAGES im in both sides since i defend heartstopper from the heteros while i also defend st from hasty star wars nerds', 'responsi_vility|1453754837326188545', '2022-05-30T16:20:06.000Z'), ('1531303505453010947', 'hs and st fans stop fighting with each other for once challenge', 'V1NTAGES|1404869814859046925', '2022-05-30T15:56:20.000Z')]"
ABC,"[('1531321726541471746', '@pictureladyjan @andersostlund @Bundeskanzler I expect you were being sarcastic, sorry, my mistake. . .', 'GeoffreyDWest|615284988', '2022-05-30T17:08:44.000Z'), ('1531320154084220929', '@andersostlund @Bundeskanzler Ukraine has endured 96 days of this. No rush.  😶', 'pictureladyjan|2216110261', '2022-05-30T17:02:29.000Z'), ('1531317139080105984', ""Good thread on frustration with Scholz among German politicians. What I don't understand is that parliament made a decision but @Bundeskanzler is still not acting. Why is the opposition not calling for a vote of no confidence? I know it's not the German style but we are at war. https://t.co/06HOQ8NLL8"", 'andersostlund|21575717', '2022-05-30T16:50:31.000Z')]"
